_flg_,_date_,_url_,_title_
0,2016/2/6,http://style.nikkei.com/article/DGXMZO12054150U7A120C1000000?channel=DF220420167276&style=1,AIとスポーツの融合　カギは「レジェンドの知」継承
0,2016/2/6,http://www.nikkei.com/article/DGKKZO12543610U7A200C1TCJ000/,〈法トーク〉フィンテック・ＡＩ関連に意欲 弁護士　岩倉正和氏
0,2016/2/1,http://www.nikkei.com/article/DGKKASFK25H41_R30C17A1TJC000/,ＡＩ特許 ４年で７割増　米中突出 日本は減
0,2016/1/31,http://www.nikkei.com/article/DGKKZO12336510R30C17A1ENK000/,人工知能の使い方
0,2016/1/31,http://www.nikkei.com/article/DGKKZO12336510R30C17A1ENK000/,Windowsスマホ、仕事で使える？
1,2017/2/23,http://www.nikkei.com/article/DGXLASDZ22HST_S7A220C1TI1000/,イオン、従業員の質問にＡＩが回答　接客能力高める
1,2017/2/22,http://www.nikkei.com/article/DGXLASFB06HLT_S7A220C1MM0000/,高速道の除雪、ＡＩで効率化　東日本高速
1,2017/2/21,http://itpro.nikkeibp.co.jp/atcl/news/17/022100576/,ミツバグループ、グローバル53社の人事評価でAI活用
1,2017/2/20,http://www.nikkei.com/article/DGXLZO13144060Q7A220C1TI5000/,ローソン、健康志向に応じ商品提案　ＬＩＮＥでＡＩが対応
1,2017/2/20,http://itpro.nikkeibp.co.jp/atcl/news/17/022000545/,機械学習を中堅中小にも、PBCがERP「Dynamics NAV」新版
